age,weight_fr
0,12
1,12
2,13
3,13
4,13
5,13
6,14
7,14
8,14
9,14
10,14
11,13
12,13
13,14
14,13
15,14
16,14
17,13
18,14
19,13
20,13
21,13
22,12
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
41,14
42,14
43,15
44,15
45,15
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,14
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,12
65,12
66,12
67,12
68,11
69,11
70,10
71,9
72,8
73,7
74,7
75,7
76,6
77,6
78,6
79,6
80,6
81,5
82,5
83,5
84,4
85,4
86,4
87,3
88,3
89,2
90,2
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
