age,reg,weight_reg
0,1.0,34
0,11.0,220
0,24.0,35
0,27.0,37
0,28.0,46
0,32.0,96
0,44.0,77
0,52.0,57
0,53.0,44
0,75.0,71
0,76.0,77
0,84.0,119
0,93.0,73
0,94.0,4
1,1.0,36
1,11.0,217
1,24.0,37
1,27.0,37
1,28.0,48
1,32.0,98
1,44.0,77
1,52.0,58
1,53.0,46
1,75.0,74
1,76.0,78
1,84.0,121
1,93.0,73
1,94.0,5
2,1.0,35
2,11.0,221
2,24.0,38
2,27.0,38
2,28.0,50
2,32.0,101
2,44.0,81
2,52.0,60
2,53.0,48
2,75.0,78
2,76.0,81
2,84.0,125
2,93.0,73
2,94.0,5
3,1.0,37
3,11.0,220
3,24.0,39
3,27.0,41
3,28.0,52
3,32.0,104
3,44.0,83
3,52.0,62
3,53.0,51
3,75.0,81
3,76.0,83
3,84.0,129
3,93.0,75
3,94.0,5
4,1.0,37
4,11.0,221
4,24.0,40
4,27.0,41
4,28.0,52
4,32.0,104
4,44.0,84
4,52.0,64
4,53.0,51
4,75.0,82
4,76.0,85
4,84.0,130
4,93.0,77
4,94.0,5
5,1.0,39
5,11.0,221
5,24.0,41
5,27.0,42
5,28.0,54
5,32.0,106
5,44.0,86
5,52.0,65
5,53.0,53
5,75.0,85
5,76.0,88
5,84.0,132
5,93.0,79
5,94.0,5
6,1.0,39
6,11.0,221
6,24.0,42
6,27.0,42
6,28.0,55
6,32.0,108
6,44.0,87
6,52.0,65
6,53.0,53
6,75.0,87
6,76.0,87
6,84.0,133
6,93.0,79
6,94.0,5
7,1.0,41
7,11.0,220
7,24.0,43
7,27.0,44
7,28.0,56
7,32.0,108
7,44.0,88
7,52.0,68
7,53.0,55
7,75.0,88
7,76.0,89
7,84.0,135
7,93.0,79
7,94.0,5
8,1.0,41
8,11.0,216
8,24.0,42
8,27.0,44
8,28.0,55
8,32.0,107
8,44.0,88
8,52.0,66
8,53.0,55
8,75.0,88
8,76.0,89
8,84.0,134
8,93.0,79
8,94.0,5
9,1.0,42
9,11.0,214
9,24.0,43
9,27.0,43
9,28.0,55
9,32.0,105
9,44.0,86
9,52.0,67
9,53.0,55
9,75.0,88
9,76.0,89
9,84.0,134
9,93.0,79
9,94.0,5
10,1.0,41
10,11.0,212
10,24.0,43
10,27.0,44
10,28.0,56
10,32.0,107
10,44.0,86
10,52.0,67
10,53.0,56
10,75.0,89
10,76.0,90
10,84.0,132
10,93.0,78
10,94.0,5
11,1.0,42
11,11.0,209
11,24.0,43
11,27.0,44
11,28.0,56
11,32.0,106
11,44.0,86
11,52.0,67
11,53.0,56
11,75.0,90
11,76.0,89
11,84.0,132
11,93.0,77
11,94.0,5
12,1.0,42
12,11.0,208
12,24.0,42
12,27.0,44
12,28.0,55
12,32.0,104
12,44.0,87
12,52.0,67
12,53.0,55
12,75.0,90
12,76.0,88
12,84.0,131
12,93.0,78
12,94.0,5
13,1.0,42
13,11.0,204
13,24.0,43
13,27.0,45
13,28.0,56
13,32.0,108
13,44.0,87
13,52.0,66
13,53.0,56
13,75.0,91
13,76.0,91
13,84.0,132
13,93.0,80
13,94.0,5
14,1.0,43
14,11.0,202
14,24.0,42
14,27.0,45
14,28.0,57
14,32.0,107
14,44.0,88
14,52.0,65
14,53.0,56
14,75.0,92
14,76.0,90
14,84.0,132
14,93.0,80
14,94.0,5
15,1.0,42
15,11.0,202
15,24.0,43
15,27.0,45
15,28.0,56
15,32.0,107
15,44.0,88
15,52.0,67
15,53.0,57
15,75.0,93
15,76.0,90
15,84.0,132
15,93.0,79
15,94.0,5
16,1.0,42
16,11.0,202
16,24.0,42
16,27.0,45
16,28.0,57
16,32.0,106
16,44.0,90
16,52.0,65
16,53.0,56
16,75.0,93
16,76.0,91
16,84.0,130
16,93.0,81
16,94.0,5
17,1.0,42
17,11.0,198
17,24.0,42
17,27.0,45
17,28.0,56
17,32.0,109
17,44.0,90
17,52.0,63
17,53.0,56
17,75.0,92
17,76.0,91
17,84.0,130
17,93.0,80
17,94.0,5
18,1.0,38
18,11.0,202
18,24.0,40
18,27.0,45
18,28.0,56
18,32.0,108
18,44.0,90
18,52.0,64
18,53.0,56
18,75.0,93
18,76.0,94
18,84.0,130
18,93.0,80
18,94.0,5
19,1.0,36
19,11.0,197
19,24.0,38
19,27.0,42
19,28.0,53
19,32.0,105
19,44.0,90
19,52.0,60
19,53.0,53
19,75.0,85
19,76.0,92
19,84.0,127
19,93.0,78
19,94.0,5
20,1.0,32
20,11.0,195
20,24.0,36
20,27.0,40
20,28.0,50
20,32.0,101
20,44.0,88
20,52.0,57
20,53.0,50
20,75.0,82
20,76.0,91
20,84.0,123
20,93.0,73
20,94.0,5
21,1.0,31
21,11.0,198
21,24.0,34
21,27.0,39
21,28.0,47
21,32.0,99
21,44.0,85
21,52.0,55
21,53.0,50
21,75.0,82
21,76.0,86
21,84.0,122
21,93.0,73
21,94.0,5
22,1.0,29
22,11.0,203
22,24.0,34
22,27.0,37
22,28.0,46
22,32.0,95
22,44.0,86
22,52.0,54
22,53.0,47
22,75.0,80
22,76.0,85
22,84.0,120
22,93.0,71
22,94.0,4
23,1.0,29
23,11.0,213
23,24.0,33
23,27.0,38
23,28.0,47
23,32.0,93
23,44.0,85
23,52.0,52
23,53.0,47
23,75.0,79
23,76.0,84
23,84.0,121
23,93.0,71
23,94.0,5
24,1.0,28
24,11.0,222
24,24.0,33
24,27.0,37
24,28.0,45
24,32.0,93
24,44.0,85
24,52.0,53
24,53.0,45
24,75.0,77
24,76.0,82
24,84.0,119
24,93.0,70
24,94.0,5
25,1.0,27
25,11.0,225
25,24.0,35
25,27.0,38
25,28.0,46
25,32.0,93
25,44.0,85
25,52.0,52
25,53.0,45
25,75.0,78
25,76.0,81
25,84.0,119
25,93.0,71
25,94.0,5
26,1.0,27
26,11.0,232
26,24.0,34
26,27.0,38
26,28.0,46
26,32.0,93
26,44.0,85
26,52.0,54
26,53.0,44
26,75.0,77
26,76.0,82
26,84.0,119
26,93.0,70
26,94.0,5
27,1.0,26
27,11.0,230
27,24.0,36
27,27.0,37
27,28.0,47
27,32.0,95
27,44.0,86
27,52.0,54
27,53.0,46
27,75.0,79
27,76.0,81
27,84.0,121
27,93.0,72
27,94.0,5
28,1.0,26
28,11.0,302
28,24.0,47
28,27.0,52
28,28.0,63
28,32.0,126
28,44.0,113
28,52.0,72
28,53.0,60
28,75.0,104
28,76.0,107
28,84.0,162
28,93.0,96
28,94.0,7
29,1.0,35
29,11.0,300
29,24.0,48
29,27.0,52
29,28.0,64
29,32.0,126
29,44.0,114
29,52.0,73
29,53.0,62
29,75.0,104
29,76.0,110
29,84.0,161
29,93.0,98
29,94.0,7
30,1.0,34
30,11.0,301
30,24.0,47
30,27.0,52
30,28.0,64
30,32.0,127
30,44.0,113
30,52.0,75
30,53.0,63
30,75.0,105
30,76.0,109
30,84.0,162
30,93.0,96
30,94.0,7
31,1.0,33
31,11.0,300
31,24.0,48
31,27.0,52
31,28.0,64
31,32.0,128
31,44.0,115
31,52.0,76
31,53.0,62
31,75.0,107
31,76.0,111
31,84.0,166
31,93.0,98
31,94.0,7
32,1.0,35
32,11.0,299
32,24.0,49
32,27.0,54
32,28.0,65
32,32.0,129
32,44.0,115
32,52.0,78
32,53.0,63
32,75.0,109
32,76.0,113
32,84.0,169
32,93.0,100
32,94.0,7
33,1.0,36
33,11.0,303
33,24.0,49
33,27.0,54
33,28.0,65
33,32.0,129
33,44.0,117
33,52.0,81
33,53.0,67
33,75.0,114
33,76.0,115
33,84.0,170
33,93.0,102
33,94.0,7
34,1.0,35
34,11.0,301
34,24.0,50
34,27.0,56
34,28.0,67
34,32.0,131
34,44.0,116
34,52.0,81
34,53.0,69
34,75.0,116
34,76.0,118
34,84.0,172
34,93.0,101
34,94.0,7
35,1.0,36
35,11.0,301
35,24.0,50
35,27.0,54
35,28.0,67
35,32.0,133
35,44.0,116
35,52.0,81
35,53.0,69
35,75.0,116
35,76.0,117
35,84.0,172
35,93.0,104
35,94.0,7
36,1.0,36
36,11.0,299
36,24.0,50
36,27.0,54
36,28.0,67
36,32.0,129
36,44.0,116
36,52.0,79
