age,dep,reg,weight_dep,weight_reg
0,01,84.0,12,9
0,02,32.0,9,7
0,03,84.0,5,4
0,04,93.0,3,2
0,05,93.0,2,2
0,06,93.0,17,13
0,07,84.0,5,4
0,08,44.0,5,4
0,09,76.0,2,2
0,10,44.0,5,4
0,11,76.0,5,4
0,12,76.0,4,3
0,13,93.0,35,28
0,14,28.0,11,9
0,15,84.0,2,2
0,16,75.0,5,4
0,17,75.0,8,7
0,18,24.0,5,4
0,19,75.0,3,3
0,21,27.0,9,7
0,22,53.0,9,7
0,23,75.0,2,2
0,24,75.0,5,4
0,25,27.0,10,8
0,26,84.0,9,7
0,27,28.0,11,9
0,28,24.0,8,6
0,29,53.0,14,11
0,2A,94.0,3,2
0,2B,94.0,3,3
0,30,76.0,12,9
0,31,76.0,25,19
0,32,76.0,3,2
0,33,75.0,25,20
0,34,76.0,18,15
0,35,53.0,19,15
0,36,24.0,3,3
0,37,24.0,10,8
0,38,84.0,23,18
0,39,27.0,4,3
0,40,75.0,6,5
0,41,24.0,5,4
0,42,84.0,13,11
0,43,84.0,3,3
0,44,52.0,27,21
0,45,24.0,13,10
0,46,76.0,2,2
0,47,75.0,5,4
0,48,76.0,1,1
0,49,52.0,15,12
0,50,28.0,8,6
0,51,44.0,10,8
0,52,44.0,3,2
0,53,52.0,5,4
0,54,44.0,12,10
0,55,44.0,3,2
0,56,53.0,11,9
0,57,44.0,17,13
0,58,27.0,3,2
0,59,32.0,51,40
0,60,32.0,15,12
0,61,28.0,4,3
0,62,32.0,27,21
0,63,84.0,10,8
0,64,75.0,10,8
0,65,76.0,3,3
0,66,76.0,7,6
0,67,44.0,18,14
0,68,44.0,13,10
0,69,84.0,38,30
0,70,27.0,4,3
0,71,27.0,8,6
0,72,52.0,10,8
0,73,84.0,7,6
0,74,84.0,15,12
0,75,11.0,37,29
0,76,28.0,22,18
0,77,11.0,29,23
0,78,11.0,28,22
0,79,75.0,6,5
0,80,32.0,9,7
0,81,76.0,6,5
0,82,76.0,4,4
0,83,93.0,16,12
0,84,93.0,10,8
0,85,52.0,11,8
0,86,75.0,7,6
0,87,75.0,6,5
0,88,44.0,5,4
0,89,27.0,6,5
0,90,27.0,3,2
0,91,11.0,27,22
0,92,11.0,36,28
0,93,11.0,41,33
0,94,11.0,31,24
