cim10;init;gpe;charls
B150;;ld;
B159;;ld;
B160;;ld;
B161;;ld;
B162;;ld;
B169;;ld;
B170;;ld;
B171;;ld;
B172;;ld;
B178;;ld;
B180;;ld;mld
B181;;ld;mld
B182;;ld;mld
B188;;ld;mld
B189;;ld;mld
B190;;ld;
B199;;ld;
B20;;hiv;hiv
B200;;hiv;hiv
B201;;hiv;hiv
B202;;hiv;hiv
B203;;hiv;hiv
B204;;hiv;hiv
B205;;hiv;hiv
B206;;hiv;hiv
B207;;hiv;hiv
B208;;hiv;hiv
B209;;hiv;hiv
B21;;hiv;hiv
B210;;hiv;hiv
B211;;hiv;hiv
B212;;hiv;hiv
B213;;hiv;hiv
B217;;hiv;hiv
B218;;hiv;hiv
B219;;hiv;hiv
B22;;hiv;hiv
B220;;hiv;hiv
B221;;hiv;hiv
B222;;hiv;hiv
B227;;hiv;hiv
B23;;hiv;
B230;;hiv;
B231;;hiv;
B232;;hiv;
B238;;hiv;
B24;;hiv;hiv
B24+0;;hiv;hiv
B24+1;;hiv;hiv
B24+9;;hiv;hiv
B251;;ld;
B942;;ld;
C00;;K;tum
C000;;K;tum
C001;;K;tum
C002;;K;tum
C003;;K;tum
C004;;K;tum
C005;;K;tum
C006;;K;tum
C008;;K;tum
C009;;K;tum
C01;;K;tum
C02;;K;tum
C020;;K;tum
C021;;K;tum
C022;;K;tum
C023;;K;tum
C024;;K;tum
C028;;K;tum
C029;;K;tum
C03;;K;tum
C030;;K;tum
C031;;K;tum
C039;1;K;tum
C04;;K;tum
C040;;K;tum
C041;;K;tum
C048;;K;tum
C049;;K;tum
C05;;K;tum
C050;;K;tum
C051;;K;tum
C052;;K;tum
C058;;K;tum
C059;;K;tum
C06;;K;tum
C060;;K;tum
C061;;K;tum
C062;;K;tum
C068;;K;tum
C069;1;K;tum
C07;;K;tum
C08;;K;tum
C080;;K;tum
C081;;K;tum
C088;;K;tum
C089;;K;tum
C09;;K;tum
C090;;K;tum
C091;;K;tum
C098;;K;tum
C099;1;K;tum
C10;;K;tum
C100;;K;tum
C101;;K;tum
C102;;K;tum
C103;;K;tum
C104;;K;tum
C108;;K;tum
C109;;K;tum
C11;;K;tum
C110;;K;tum
C111;;K;tum
C112;;K;tum
C113;;K;tum
C118;;K;tum
C119;1;K;tum
C12;;K;tum
C13;;K;tum
C130;;K;tum
C131;;K;tum
C132;;K;tum
C138;;K;tum
C139;;K;tum
C14;;K;tum
C140;;K;tum
C142;;K;tum
C148;;K;tum
C15;;K;tum
C150;;K;tum
C151;;K;tum
C152;;K;tum
C153;;K;tum
C154;;K;tum
C155;;K;tum
C158;;K;tum
C159;;K;tum
C16;;K;tum
C160;;K;tum
C161;;K;tum
C162;;K;tum
C163;;K;tum
C164;;K;tum
C165;;K;tum
C166;;K;tum
C168;;K;tum
C169;1;K;tum
C169+0;;K;tum
C169+8;;K;tum
C17;;K;tum
C170;1;K;tum
C171;1;K;tum
C172;1;K;tum
C173;;K;tum
C178;;K;tum
C179;;K;tum
C18;;K;tum
C180;;K;tum
C181;;K;tum
C182;;K;tum
C183;;K;tum
C184;;K;tum
C185;;K;tum
C186;;K;tum
C187;;K;tum
C188;;K;tum
C189;1;K;tum
C189+0;;K;tum
C189+8;;K;tum
C19;;K;tum
C20;1;K;tum
C21;;K;tum
C210;1;K;tum
C211;;K;tum
C212;;K;tum
C218;;K;tum
C22;;K;tum
C220;;K;tum
C221;;K;tum
C222;;K;tum
C223;;K;tum
C224;1;K;tum
C227;;K;tum
C229;;K;tum
C23;;K;tum
C24;;K;tum
C240;1;K;tum
C241;;K;tum
C248;;K;tum
C249;;K;tum
C25;;K;tum
C250;;K;tum
C251;;K;tum
C252;;K;tum
C253;;K;tum
C254;;K;tum
C254+0;;K;tum
C254+8;;K;tum
C257;;K;tum
C258;;K;tum
C259;;K;tum
C259+0;;K;tum
C259+8;;K;tum
C26;;K;tum
C260;;K;tum
C261;1;K;tum
C268;;K;tum
C269;1;K;tum
C30;;K;tum
C300;;K;tum
C301;;K;tum
C31;;K;tum
C310;;K;tum
C311;1;K;tum
C312;;K;tum
C313;;K;tum
C318;;K;tum
C319;;K;tum
C32;;K;tum
C320;;K;tum
C321;;K;tum
C322;;K;tum
C323;1;K;tum
C328;;K;tum
C329;;K;tum
C33;;K;tum
C34;;K;tum
C340;;K;tum
C341;1;K;tum
C342;;K;tum
C343;;K;tum
C348;;K;tum
