DEPCOM;DEP;REG;PTOT;weight_fr;weight_reg;weight_dep
001001;001;84;794;2;10;13
001002;001;84;249;1;4;4
001004;001;84;14428;22;178;219
001005;001;84;1723;3;22;27
001006;001;84;117;1;2;2
001007;001;84;2841;5;35;44
001008;001;84;767;2;10;12
001009;001;84;339;1;5;6
001010;001;84;1132;2;14;18
001011;001;84;387;1;5;6
001012;001;84;330;1;5;6
001013;001;84;148;1;2;3
001014;001;84;3459;6;43;53
001015;001;84;661;1;9;11
001016;001;84;468;1;6;8
001017;001;84;458;1;6;7
001019;001;84;29;1;1;1
001021;001;84;1438;3;18;22
001022;001;84;1255;2;16;20
001023;001;84;66;1;1;2
001024;001;84;3275;5;41;50
001025;001;84;4200;7;52;64
001026;001;84;983;2;13;15
001027;001;84;2741;5;34;42
001028;001;84;611;1;8;10
001029;001;84;697;2;9;11
001030;001;84;880;2;11;14
001031;001;84;3859;6;48;59
001032;001;84;3362;5;42;52
001033;001;84;16804;25;207;255
001034;001;84;9499;15;117;145
001035;001;84;322;1;4;5
001036;001;84;1329;2;17;21
001037;001;84;302;1;4;5
001038;001;84;777;2;10;12
001039;001;84;462;1;6;8
001040;001;84;501;1;7;8
001041;001;84;769;2;10;12
001042;001;84;293;1;4;5
001043;001;84;4721;7;59;72
001044;001;84;637;1;8;10
001045;001;84;287;1;4;5
001046;001;84;885;2;11;14
001047;001;84;1032;2;13;16
001049;001;84;3267;5;41;50
001050;001;84;342;1;5;6
001051;001;84;90;1;2;2
001052;001;84;334;1;5;6
001053;001;84;43306;64;534;657
001054;001;84;1395;3;18;22
001056;001;84;351;1;5;6
001057;001;84;519;1;7;8
001058;001;84;852;2;11;13
001060;001;84;530;1;7;9
001061;001;84;1193;2;15;19
001062;001;84;931;2;12;15
001063;001;84;528;1;7;9
001064;001;84;1026;2;13;16
001065;001;84;1845;3;23;28
001066;001;84;78;1;1;2
001067;001;84;267;1;4;5
001068;001;84;797;2;10;13
001069;001;84;1557;3;20;24
001071;001;84;4972;8;62;76
001072;001;84;3218;5;40;49
001073;001;84;1033;2;13;16
001074;001;84;2484;4;31;38
001075;001;84;1376;3;17;21
001076;001;84;133;1;2;3
001077;001;84;197;1;3;3
001078;001;84;1498;3;19;23
001079;001;84;851;2;11;13
001080;001;84;665;1;9;11
001081;001;84;750;2;10;12
001082;001;84;639;1;8;10
001083;001;84;925;2;12;15
001084;001;84;861;2;11;14
001085;001;84;393;1;5;6
001087;001;84;295;1;4;5
001088;001;84;940;2;12;15
001089;001;84;2187;4;27;34
001090;001;84;345;1;5;6
001092;001;84;1652;3;21;26
001093;001;84;5060;8;63;77
001094;001;84;765;2;10;12
001095;001;84;825;2;11;13
001096;001;84;1037;2;13;16
001098;001;84;1148;2;15;18
001099;001;84;1551;3;20;24
001100;001;84;138;1;2;3
001101;001;84;160;1;2;3
001102;001;84;967;2;12;15
001103;001;84;1852;3;23;29
001104;001;84;478;1;6;8
001105;001;84;1736;3;22;27
001106;001;84;181;1;3;3
001107;001;84;140;1;2;3
001108;001;84;1206;2;15;19
001109;001;84;2265;4;28;35
001110;001;84;142;1;2;3
001111;001;84;125;1;2;2
001112;001;84;448;1;6;7
001113;001;84;835;2;11;13
001114;001;84;660;1;9;11
001115;001;84;1365;3;17;21
001116;001;84;510;1;7;8
001117;001;84;150;1;2;3
001118;001;84;1297;2;16;20
001121;001;84;115;1;2;2
001123;001;84;1175;2;15;18
001124;001;84;679;2;9;11
001125;001;84;634;1;8;10
001127;001;84;516;1;7;8
001128;001;84;315;1;4;5
001129;001;84;270;1;4;5
001130;001;84;2327;4;29;36
001133;001;84;403;1;5;7
001134;001;84;1777;3;22;27
001135;001;84;2201;4;28;34
001136;001;84;888;2;11;14
001138;001;84;3082;5;38;47
001139;001;84;445;1;6;7
001140;001;84;789;2;10;12
001141;001;84;463;1;6;8
001142;001;84;4772;8;59;73
001143;001;84;9878;15;122;150
001145;001;84;1187;2;15;19
001146;001;84;445;1;6;7
001147;001;84;489;1;7;8
001148;001;84;1890;3;24;29
001149;001;84;1067;2;14;17
001150;001;84;221;1;3;4
001151;001;84;1178;2;15;18
001152;001;84;777;2;10;12
001153;001;84;2205;4;28;34
001155;001;84;147;1;2;3
