codgeo,dep,reg,weight_dep,weight_reg,weight_fr
01001,01,84.0,129,10,11
01002,01,84.0,40,3,3
01004,01,84.0,2232,180,205
01005,01,84.0,269,21,24
01006,01,84.0,20,1,1
01007,01,84.0,418,33,38
01008,01,84.0,97,7,8
01009,01,84.0,54,4,5
01010,01,84.0,180,14,16
01011,01,84.0,63,5,5
01012,01,84.0,54,4,5
01013,01,84.0,25,2,2
01014,01,84.0,544,44,50
01015,01,84.0,77,6,7
01016,01,84.0,74,6,6
01017,01,84.0,70,5,6
01019,01,84.0,4,0,0
01021,01,84.0,201,16,18
01022,01,84.0,199,16,18
01023,01,84.0,2,0,0
01024,01,84.0,525,42,48
01025,01,84.0,670,54,61
01026,01,84.0,135,11,12
01027,01,84.0,554,44,51
01028,01,84.0,82,6,7
01029,01,84.0,85,6,7
01030,01,84.0,126,10,11
01031,01,84.0,549,44,50
01032,01,84.0,506,41,46
01033,01,84.0,2635,213,242
01034,01,84.0,1418,114,130
01035,01,84.0,43,3,4
01036,01,84.0,196,15,18
01037,01,84.0,58,4,5
01038,01,84.0,124,10,11
01039,01,84.0,72,5,6
01040,01,84.0,83,6,7
01041,01,84.0,119,9,10
01042,01,84.0,50,4,4
01043,01,84.0,724,58,66
01044,01,84.0,76,6,7
01045,01,84.0,47,3,4
01046,01,84.0,113,9,10
01047,01,84.0,152,12,14
01049,01,84.0,491,39,45
01050,01,84.0,53,4,4
01051,01,84.0,15,1,1
01052,01,84.0,28,2,2
01053,01,84.0,6431,521,592
01054,01,84.0,202,16,18
01056,01,84.0,61,4,5
01057,01,84.0,77,6,7
01058,01,84.0,130,10,12
01060,01,84.0,79,6,7
01061,01,84.0,181,14,16
01062,01,84.0,129,10,11
01063,01,84.0,79,6,7
01064,01,84.0,139,11,12
01065,01,84.0,272,22,25
01066,01,84.0,12,0,1
01067,01,84.0,23,1,2
01068,01,84.0,119,9,11
01069,01,84.0,244,19,22
01071,01,84.0,769,62,70
01072,01,84.0,470,38,43
01073,01,84.0,166,13,15
01074,01,84.0,388,31,35
01075,01,84.0,211,17,19
01076,01,84.0,19,1,1
01077,01,84.0,31,2,2
01078,01,84.0,216,17,19
01079,01,84.0,122,9,11
01080,01,84.0,103,8,9
01081,01,84.0,112,9,10
01082,01,84.0,73,5,6
01083,01,84.0,150,12,13
01084,01,84.0,136,11,12
01085,01,84.0,66,5,6
01087,01,84.0,48,3,4
01088,01,84.0,155,12,14
01089,01,84.0,329,26,30
01090,01,84.0,43,3,4
01092,01,84.0,242,19,22
01093,01,84.0,750,60,69
01094,01,84.0,96,7,8
01095,01,84.0,132,10,12
01096,01,84.0,137,11,12
01098,01,84.0,159,12,14
01099,01,84.0,236,19,21
01100,01,84.0,9,0,0
01101,01,84.0,9,0,0
01102,01,84.0,162,13,14
01103,01,84.0,252,20,23
01104,01,84.0,76,6,7
01105,01,84.0,253,20,23
01106,01,84.0,10,0,0
01107,01,84.0,24,1,2
01108,01,84.0,180,14,16
01109,01,84.0,357,28,32
01110,01,84.0,23,1,2
01111,01,84.0,21,1,1
01112,01,84.0,58,4,5
01113,01,84.0,121,9,11
01114,01,84.0,72,5,6
01115,01,84.0,223,18,20
01116,01,84.0,65,5,6
01117,01,84.0,8,0,0
01118,01,84.0,179,14,16
01121,01,84.0,4,0,0
01123,01,84.0,188,15,17
01124,01,84.0,102,8,9
01125,01,84.0,102,8,9
01127,01,84.0,58,4,5
01128,01,84.0,48,3,4
01129,01,84.0,31,2,2
01130,01,84.0,377,30,34
01133,01,84.0,63,5,5
01134,01,84.0,284,23,26
01135,01,84.0,338,27,31
01136,01,84.0,141,11,13
01138,01,84.0,463,37,42
01139,01,84.0,74,6,6
01140,01,84.0,127,10,11
01141,01,84.0,69,5,6
01142,01,84.0,760,61,70
01143,01,84.0,1441,116,132
01145,01,84.0,167,13,15
01146,01,84.0,58,4,5
01147,01,84.0,49,4,4
01148,01,84.0,304,24,28
01149,01,84.0,158,12,14
01150,01,84.0,15,1,1
01151,01,84.0,180,14,16
01152,01,84.0,134,10,12
01153,01,84.0,343,27,31
01155,01,84.0,25,2,2
01156,01,84.0,106,8,9
01157,01,84.0,358,29,33
01158,01,84.0,167,13,15
01159,01,84.0,520,42,47
01160,01,84.0,1523,123,140
01162,01,84.0,9,0,0
01163,01,84.0,343,27,31
01165,01,84.0,258,20,23
01166,01,84.0,380,30,35
01167,01,84.0,100,8,9
01169,01,84.0,75,6,6
01170,01,84.0,155,12,14
01171,01,84.0,146,11,13
01173,01,84.0,2066,167,190
01174,01,84.0,30,2,2
01175,01,84.0,136,11,12
01177,01,84.0,13,1,1
01179,01,84.0,296,24,27
01180,01,84.0,127,10,11
01181,01,84.0,198,16,18
01183,01,84.0,238,19,21
01184,01,84.0,112,9,10
01185,01,84.0,762,61,70
01187,01,84.0,100,8,9
01188,01,84.0,99,8,9
01189,01,84.0,183,14,16
01190,01,84.0,14,1,1
01191,01,84.0,29,2,2
01192,01,84.0,368,29,33
01193,01,84.0,37,3,3
01194,01,84.0,992,80,91
01195,01,84.0,275,22,25
01196,01,84.0,193,15,17
01197,01,84.0,59,4,5
01198,01,84.0,46,3,4
01199,01,84.0,350,28,32
01200,01,84.0,16,1,1
01202,01,84.0,1135,92,104
01203,01,84.0,195,15,17
01204,01,84.0,96,7,8
01206,01,84.0,27,2,2
01207,01,84.0,56,4,5
01208,01,84.0,5,0,0
01209,01,84.0,116,9,10
01210,01,84.0,16,1,1
01211,01,84.0,230,18,21
01212,01,84.0,120,9,11
01213,01,84.0,183,14,16
01214,01,84.0,8,0,0
01215,01,84.0,6,0,0
01216,01,84.0,144,11,13
01219,01,84.0,28,2,2
01224,01,84.0,479,38,44
01225,01,84.0,65,5,6
01227,01,84.0,101,8,9
01228,01,84.0,89,7,8
01229,01,84.0,175,14,16
01230,01,84.0,29,2,2
01231,01,84.0,321,26,29
01232,01,84.0,366,29,33
01233,01,84.0,23,1,2
01234,01,84.0,26,2,2
01235,01,84.0,154,12,14
01236,01,84.0,149,12,13
01237,01,84.0,239,19,22
01238,01,84.0,393,31,36
01239,01,84.0,97,7,9
01240,01,84.0,110,8,10
01241,01,84.0,205,16,18
01242,01,84.0,9,0,0
01243,01,84.0,183,14,16
01244,01,84.0,1196,96,110
01245,01,84.0,125,10,11
01246,01,84.0,346,28,31
01247,01,84.0,61,4,5
01248,01,84.0,342,27,31
01249,01,84.0,1559,126,143
01250,01,84.0,308,25,28
01252,01,84.0,106,8,9
01254,01,84.0,302,24,27
01255,01,84.0,96,7,8
01257,01,84.0,45,3,4
01258,01,84.0,201,16,18
01259,01,84.0,104,8,9
01260,01,84.0,47,3,4
01261,01,84.0,110,8,10
01262,01,84.0,1102,89,101
01263,01,84.0,611,49,56
01264,01,84.0,164,13,15
01265,01,84.0,563,45,51
01266,01,84.0,358,29,32
01267,01,84.0,171,13,15
01268,01,84.0,43,3,4
01269,01,84.0,552,44,50
01272,01,84.0,204,16,18
01273,01,84.0,295,23,27
01274,01,84.0,92,7,8
01275,01,84.0,389,31,35
01276,01,84.0,237,19,21
01277,01,84.0,5,0,0
01279,01,84.0,13,1,1
01280,01,84.0,23,1,2
01281,01,84.0,681,55,62
01282,01,84.0,43,3,3
01283,01,84.0,3610,292,332
01284,01,84.0,103,8,9
01285,01,84.0,169,13,15
01286,01,84.0,138,11,12
01288,01,84.0,440,35,40
01289,01,84.0,979,79,90
01290,01,84.0,194,15,17
01291,01,84.0,109,8,10
01293,01,84.0,24,2,2
01294,01,84.0,146,11,13
01295,01,84.0,108,8,9
01296,01,84.0,67,5,6
01297,01,84.0,128,10,11
01298,01,84.0,22,1,2
01299,01,84.0,80,6,7
01301,01,84.0,377,30,34
01302,01,84.0,27,2,2
01303,01,84.0,237,19,21
01304,01,84.0,472,38,43
01305,01,84.0,340,27,31
01306,01,84.0,232,18,21
01307,01,84.0,134,10,12
01308,01,84.0,118,9,10
01309,01,84.0,17,1,1
01310,01,84.0,53,4,4
01311,01,84.0,7,0,0
01313,01,84.0,1254,101,115
01314,01,84.0,250,20,23
01317,01,84.0,50,4,4
01318,01,84.0,119,9,11
01319,01,84.0,60,4,5
01320,01,84.0,610,49,56
01321,01,84.0,145,11,13
