codgeo,dep,reg,weight_dep,weight_reg,weight_fr
01001,01,84.0,120,9,10
01002,01,84.0,38,3,3
01004,01,84.0,2321,182,204
01005,01,84.0,258,20,22
01006,01,84.0,15,1,1
01007,01,84.0,424,33,37
01008,01,84.0,92,7,8
01009,01,84.0,51,4,4
01010,01,84.0,182,14,16
01011,01,84.0,59,4,5
01012,01,84.0,50,3,4
01013,01,84.0,21,1,1
01014,01,84.0,551,43,48
01015,01,84.0,76,5,6
01016,01,84.0,69,5,6
01017,01,84.0,71,5,6
01019,01,84.0,3,0,0
01021,01,84.0,210,16,18
01022,01,84.0,200,15,17
01023,01,84.0,1,0,0
01024,01,84.0,520,40,45
01025,01,84.0,634,49,55
01026,01,84.0,150,11,13
01027,01,84.0,343,26,30
01028,01,84.0,83,6,7
01029,01,84.0,83,6,7
01030,01,84.0,136,10,12
01031,01,84.0,568,44,50
01032,01,84.0,529,41,46
01033,01,84.0,2639,207,233
01034,01,84.0,1554,122,137
01035,01,84.0,40,3,3
01036,01,84.0,184,14,16
01037,01,84.0,37,2,3
01038,01,84.0,123,9,10
01039,01,84.0,71,5,6
01040,01,84.0,74,5,6
01041,01,84.0,123,9,10
01042,01,84.0,39,3,3
01043,01,84.0,729,57,64
01044,01,84.0,74,5,6
01045,01,84.0,43,3,3
01046,01,84.0,114,8,10
01047,01,84.0,141,11,12
01049,01,84.0,464,36,41
01050,01,84.0,54,4,4
01051,01,84.0,13,1,1
01052,01,84.0,29,2,2
01053,01,84.0,7002,551,618
01054,01,84.0,196,15,17
01056,01,84.0,51,4,4
01057,01,84.0,64,5,5
01058,01,84.0,118,9,10
01060,01,84.0,86,6,7
01061,01,84.0,171,13,15
01062,01,84.0,117,9,10
01063,01,84.0,87,6,7
01064,01,84.0,137,10,12
01065,01,84.0,276,21,24
01066,01,84.0,10,0,0
01067,01,84.0,21,1,1
01068,01,84.0,130,10,11
01069,01,84.0,244,19,21
01071,01,84.0,752,59,66
01072,01,84.0,504,39,44
01073,01,84.0,160,12,14
01074,01,84.0,394,31,34
01075,01,84.0,201,15,17
01076,01,84.0,23,1,2
01077,01,84.0,31,2,2
01078,01,84.0,230,18,20
01079,01,84.0,133,10,11
01080,01,84.0,108,8,9
01081,01,84.0,96,7,8
01082,01,84.0,79,6,7
