FI;fi_lib;dep;reg;MCO;CANCERO;UNV;avc;sarcome;cancer;weight_avc;weight_sarcome;weight_cancer;weight_dep;weight_reg;weight_fr;weight_k_reg;weight_s_reg
010000024;CH FLEYRIAT;001;84;67341;25363;554;0;0;1;0;0;47;509;219;248;365;1267
010000032;CH DOCTEUR RECAMIER BELLEY;001;84;7925;710;0;0;0;1;0;0;1;59;25;29;10;35
010000065;CH MONTPENSIER TREVOUX;001;84;2216;0;0;0;0;0;0;0;0;16;7;8;0;0
010000099;CH DE MEXIMIEUX;001;84;118;0;0;0;0;0;0;0;0;0;0;0;0;0
010000107;CH DE PONT DE VAUX;001;84;250;0;0;0;0;0;0;0;0;1;0;0;0;0
010000115;CHI AIN VAL DE SAONE SITE PONT VEYLE;001;84;150;0;0;0;0;0;0;0;0;1;0;0;0;0
010000131;CHI AIN VAL DE SAONE SITE THOISSEY;001;84;151;0;0;0;0;0;0;0;0;1;0;0;0;0
010000180;CH PUBLIC HAUTEVILLE UNITE ESP?RANCE;001;84;361;0;0;0;0;0;0;0;0;2;1;1;0;0
010000214;CH PUBLIC HAUTEVILLE UNIT? ALBARINE;001;84;133;0;0;0;0;0;0;0;0;1;0;0;0;0
010005239;CH DU HAUT BUGEY SITE GEOVREISSET;001;84;9866;175;0;0;0;1;0;0;0;74;32;36;2;8
010007300;CLINIQUE AMBULATOIRE CENDANEG;001;84;2141;0;0;0;0;0;0;0;0;16;6;7;0;0
010780195;CLINIQUE CONVERT;001;84;21569;3481;0;0;0;1;0;0;6;163;70;79;50;174
010780203;HOPITAL PRIVE D'AMBERIEU;001;84;10715;309;0;0;0;1;0;0;1;81;34;39;4;15
010780294;NEPHROCARE CH BELLEY;001;84;9248;0;0;0;0;0;0;0;0;69;30;34;0;0
020000089;CH GUISE;002;32;1179;0;0;0;0;0;0;0;0;6;4;4;0;0
020000097;CH LA F?RE;002;32;2505;0;0;0;0;0;0;0;0;12;10;9;0;0
020000105;CH LE NOUVION-EN-THI?RACHE;002;32;343;0;0;0;0;0;0;0;0;1;1;1;0;0
020000162;CH SAINT-QUENTIN;002;32;80803;29077;641;0;0;1;0;0;54;412;323;298;747;4421
020000246;CH VERVINS;002;32;595;0;0;0;0;0;0;0;0;3;2;2;0;0
020000360;CLINIQUE COURLANCY SOISSONS;002;32;7225;382;0;0;0;1;0;0;1;36;28;26;9;58
020000394;CH LAON;002;32;22731;1327;0;0;0;1;0;0;2;116;91;83;34;201
020000519;CH SOISSONS;002;32;34871;4494;1112;0;0;1;0;0;8;178;139;128;115;683
020000535;CH CHAUNY;002;32;13108;1316;0;0;0;1;0;0;2;66;52;48;33;200
020001061;CH CH?TEAU-THIERRY;002;32;12460;102;0;0;0;1;0;0;0;63;49;45;2;15
020001087;CH HIRSON;002;32;2922;0;0;0;0;0;0;0;0;14;11;10;0;0
020010047;POLYCLINIQUE SAINT CLAUDE;002;32;17119;1452;0;0;0;1;0;0;3;87;68;63;37;220
030000061;CENTRE HOSPITALIER MOULINS YZEURE;003;84;42240;17520;0;0;0;1;0;0;33;274;137;155;252;875
030000079;CENTRE HOSPITALIER DE MONTLUCON;003;84;30507;2897;638;0;0;1;0;0;5;197;99;112;41;144
030000087;CH JACQUES LACARIN VICHY;003;84;39729;4880;352;0;0;1;0;0;9;257;129;146;70;243
030000095;CH BOURBON L'ARCHAMBAULT;003;84;87;0;0;0;0;0;0;0;0;0;0;0;0;0
030002208;CH DPT COEUR DU BOURBONNAIS;003;84;259;0;0;0;0;0;0;0;0;1;0;0;0;0
030780548;POLYCLINIQUE LA PERGOLA;003;84;7777;322;0;0;0;1;0;0;1;50;25;28;4;16
030781116;HOPITAL PRIVE SAINT-FRANCOIS;003;84;22671;6543;0;0;0;1;0;0;12;147;73;83;94;327
030785430;POLYCLINIQUE SAINT-ODILON;003;84;10833;1923;0;0;0;1;0;0;4;70;35;39;27;96
040000036;EPS PIERRE GROUES DE BARCELONNETTE;004;93;114;0;0;0;0;0;0;0;0;2;0;0;0;0
040000044;EPS DUCELIA DE CASTELLANE;004;93;70;0;0;0;0;0;0;0;0;1;0;0;0;0
